Variable	Variable name	Measurement unit / data type	Allowed values	Definition	Description
normalized_representation_mse	Metamer normalized mean-squared representation error	float	Any finite float (no NaN or infinity)	Normalized representation MSE is an error metric that should be comparable across models and images	Computed by metamer.normalized_mse(). This takes the difference between the model's representation of the putative metamer and the reference image, squares it, and divides by the variance of the model's representation fo the reference image. This was the metric used to check for synthesis convergence in Freeman and Simoncelli, 2011, where it was below 0.01 for all images.
num_iterations	Number of synthesis iterations	int	Any non-negative finite integer up to 750 (for RGC metamers) or 5000 (for V1 metamers); RGC metamers should almost all reach 750, V1 will often stop before hitting the limit but should still reach 3000 or so	The number of iterations is a duration of synthesis that is measured in optimization iterations	We do metamer synthesis using iterative optimization, and we continue optimization until we either hit the maximum number of iterations (max_iter), the loss has changed by less than loss threshold (loss_thresh) or we hit a NaN (which typically comes because the gradient has gotten very small), whichever comes first. This number specifies the number of iterations that were actually undergone before synthesis ended.
loss	L2 loss	float	Any non-infinity float (NaN is possible)	The L2 loss is an error metric that is used for metamer synthesis, but is not necessarily comprable across models and images	Computed by metamer.objective_function(), this is the L2-norm of the difference between the model's representations of the putative metamer and the reference image and is used as the objective function for the optimization that takes place during metamer synthesis (so the goal is to minimize this number).
num_statistics	Number of model statistics	int	Any positive finite integer	The number of model statistics is a measure of model complexity that is a product of the number of pooling windows and the number of different statistic types generated by the model	This is simply the number of elements in the representation returned by the model, model(image).numel(). A reasonable expectation is that the more of these you have, the better the metamer will look, and so models taht use a small number of statistic types will need more pooling windows.
image_mse	Image pixelwise mean-squared error	float	Any finite float (no NaN or infinity)	Image pixelwise mean-squared error is a measure of the difference between the generated metamer and the reference image that has nothing to do with perception.	Because of how the metamers are generated, the distance between the metamers and the corresponding reference images in model representation space will be very close to zero. It's interesting to compare this to the distance in pixel space; a good / useful / interesting metamer will have a very large number here: it's very physically distinct, but still perceptually identical.
duration_human_readable	Human-readable synthesis duration	DD:HH:MM:SS. Days, hours, minutes, seconds; all except seconds are integers, seconds will be displayed to 3 decimal points	All fields are non-negative	The duration of synthesis (not including time to prepare inputs and save outputs, which can be substantial) in human-readable format	This is the human-readable version of the duration field, and is a str. Thus, no arithmetic should be carried out on it.
duration	The synthesis duration	Seconds / float	Any non-negative finite float	The duration of synthesis (not including time to prepare inputs and save outputs, which can be substantial) in seconds	This is the value that is used to create the duration_human_readable field.
optimizer	Optimization algorithm	string	Adam, SGD, LBFGS	The optimization algorithm used for metamer synthesis, chosen from among pytorch's optimizers.	In theory, this could be any of the optimizers support by pytorch, but our metamer.py script only supports these three, and of those, Adam is consistently the best, so it's the only one found in this data.
fraction_removed	Fraction of representation ignored when computing loss and gradient	float	Any float between 0 and 1 (no NaN or infinity)	fraction_removed is an optimization hyperparameter that tries to inject stochasticity into the computation of the gradient in order to generate more diverse metamers.	Every iteration of synthesis, we compute the loss between the model's representation of the metamer-in-progress and the reference image. fraction_removed allows us randomly select a subset of the representation to do this with, giving a stochastic estimate of the gradient which may help optimization and enable us to more extensively explore the space of possible metamers. In practice, this doesn't seem to have a big effect on our models, and so is always set to 0 (in which case we always compute the loss/gradient with respect to all items in the representation).
model	Model name	str	RGC_cone-1.0_gaussian, V1_cone-1.0_norm_s6_gaussian	The model name is the string which identifies which type of model to build.	See the docstring of create_metamers.main() for more details on how this string is structured, but the string identifies the visual area we're modeling, the cone non-linearity, the window type, the number of scales to include (V1 only) and whether to normalize or not (V1 only). There are many more possible variants than the two given in Allowed values, but those are the only two used in this experiment.
